,Aged Care,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
479,70 Lowe Street,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.08
479,70 Lowe Street,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,52.67
341,Abberfield Aged Care Facility,3191,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,0.33
341,Abberfield Aged Care Facility,3191,Linacre Private Hospital,Private,12-16 Linacre Road Bayside VIC 3188,1.31
427,Aberlea,3272,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,27.08
427,Aberlea,3272,Terang and Mortlake Health Service (Terang),Public,13 Austin Avenue Terang VIC 3264,12.11
579,Acacia House Residential Aged Care Service,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.82
579,Acacia House Residential Aged Care Service,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,1.23
206,AdventCare Whitehorse,3131,Forest Hill Dialysis Clinic,Private,69 Mahoneys Road Whitehorse VIC 3131,0.8
206,AdventCare Whitehorse,3131,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.92
636,AdventCare Yarra Ranges,3799,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,12.02
636,AdventCare Yarra Ranges,3799,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,23.02
398,Alan David Lodge,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.1
398,Alan David Lodge,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.98
716,Alchera House,3950,Gippsland Southern Health Service (Korumburra),Public,65-77 Bridge Street Korumburra VIC 3950,0.27
716,Alchera House,3950,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,29.22
565,Alcheringa Hostel,3585,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,106.36
565,Alcheringa Hostel,3585,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,1.35
347,Allambee Nursing Home Kingston Centre,3192,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,1.04
347,Allambee Nursing Home Kingston Centre,3192,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,0.88
493,Allambi Elderly Peoples Home,3414,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,125.08
493,Allambi Elderly Peoples Home,3414,Wimmera Base Hospital (Dimboola),Public,32 Anderson Street Dimboola VIC 3414,0.15
614,Allawah Special Care Hostel,3730,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,28.58
614,Allawah Special Care Hostel,3730,Yarrawonga Health,Public,33 Piper Street Yarrawonga VIC 3730,0.42
124,Alphington Aged Care,3078,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,0.9
124,Alphington Aged Care,3078,Darebin Endoscopy Services,Private,42 Station Street Darebin VIC 3078,0.99
619,"Alpine Health Multi-Purpose Service - Bright, Mount Beauty and Myrtleford",3741,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,41.07
619,"Alpine Health Multi-Purpose Service - Bright, Mount Beauty and Myrtleford",3741,Alpine Health (Bright),Public,36-42 Cobden Street Bright VIC 3741,0.32
701,Andrew Kerr Care Ltd - Residential,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,0.72
701,Andrew Kerr Care Ltd - Residential,3931,The Bays Hospital - Mornington,Private,4 Vale Street Vale VIC 3931,0.27
658,Andrews House,3824,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,14.13
658,Andrews House,3824,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,12.93
414,Anglesea Residential Aged Care Facility,3230,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,15.98
