,Aged Care,Nearest Hospital,Hopsital Address,Distance (miles)
0,Mercy Place East Melbourne,St Vincent's Private Hospital East Melbourne,159 Grey Street Melbourne VIC 3002,0.04
1,Royal Freemasons Coppin Centre,Vision Laser St Kilda Road,600-602 Whitehorse Road Whitehorse VIC 3004,0.24
2,"Jewish Care : Residential Homes, Windsor",Albert Road Clinic,31-33 Albert Road Albert VIC 3004,0.25
3,James Barker House,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,0.22
4,Royal Freemasons Footscray Aged Care,Western Gastroenterology Services,30 Eleanor Street Maribyrnong VIC 3011,0.36
5,Baptcare Westhaven Community,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,0.05
6,Doutta Galla Footscray Aged Care Facility,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,0.2
7,Uniting AgeWell Kingsville Community,,,
8,Arcare Maidstone,Western Gastroenterology Services,30 Eleanor Street Maribyrnong VIC 3011,1.13
9,Doutta Galla Yarraville Village Aged Care Facility,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,0.93
10,Yarra West Aged Care,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,1.05
11,Westgate Aged Care Facility,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,2.94
12,Mercy Place Newport,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,2.84
13,Wintringham Williamstown Hostel,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.95
14,Doutta Galla Woornack Aged Care Facility,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.9
15,Bupa Sunshine,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.52
16,Benlynne Park PNH,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.9
17,BlueCross Western Gardens,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.33
18,VMCH St Bernadette's,Sunshine Private Day Surgery,145 Furlong Road Brimbank VIC 3021,0.55
19,Cumberland Manor,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.51
20,Fronditha Care St. Albans,Fresenius Medical Care Sunshine Dialysis Clinic,147-149 Furlong Road Brimbank VIC 3021,1.1
21,Doutta Galla Grantham Green Aged Care Facility,Sunshine Private Day Surgery,145 Furlong Road Brimbank VIC 3021,0.6
22,Westside Lodge Nursing Home,Fresenius Medical Care Sunshine Dialysis Clinic,147-149 Furlong Road Brimbank VIC 3021,0.25
23,St Andrews Hostel,Fresenius Medical Care Sunshine Dialysis Clinic,147-149 Furlong Road Brimbank VIC 3021,1.75
24,Estia Health Ardeer,Dr Scope,493 Ballarat Road Brimbank VIC 3020,1.4
25,Mekong Cairnlea Vietnamese Aged Care,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,0.59
26,Arcare Burnside,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,1.63
27,Uniting AgeWell Manor Lakes Community,,,
28,Marina Residential Aged Care Service,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.8
