,School,Nearest Hospital,Hopsital Address,Distance (miles)
0,Alberton Primary School,Yarram and District Health Service,85-91 Commercial Road Yarram VIC 3971,4.23
1,Allansford and District Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,6.4
2,Avoca Primary School,Maryborough District Health Service (Maryborough),75 Clarendon Street Maryborough VIC 3465,14.77
3,Avenel Primary School,Seymour Health,1 Bretonneux Street Seymour VIC 3660,9.67
4,Warrandyte Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,4.98
5,Belmont Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.85
6,Bacchus Marsh Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,0.68
7,Ballarat Primary School (Dana Street),Ballarat Hospital,1 Drummond Street Drummond VIC 3350,0.51
8,Wodonga Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,0.6
9,Berwick Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,0.41
10,Beaufort Primary School,Beaufort & Skipton Health Service (Beaufort),24-28 Havelock Street Beaufort VIC 3373,0.53
11,Cheltenham Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,1.69
12,Cudgee Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,9.92
13,Newport Lakes Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,1.91
14,Cavendish Primary School,Hamilton Base Hospital,20 Foster Street Hamilton VIC 3300,14.25
15,Colac Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,0.84
16,Castlemaine Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,1.12
17,Campbells Creek Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,2.81
18,Creswick Primary School,Creswick District Hospital,1 Napier Street Creswick VIC 3363,0.24
19,California Gully Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,2.09
20,St Andrews Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,11.54
21,Warrnambool West Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,1.02
22,Dromana Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,4.36
23,Doncaster Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.97
24,Echuca Primary School,Echuca Regional Health,226 Service Street Echuca VIC 3564,0.69
25,Eltham Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,5.23
26,Eaglehawk Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,2.51
27,Elphinstone Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,7.59
28,Hallam Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,2.76
29,Flemington Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.83
30,Footscray Primary School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,0.29
31,Gisborne Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,9.91
32,Sandringham Primary School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.05
33,Wandiligong Primary School,Alpine Health (Bright),36-42 Cobden Street Bright VIC 3741,2.64
34,Grovedale Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,3.34
35,Hawthorn West Primary School,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,1.05
36,Heidelberg Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,0.39
37,Hamilton (Gray Street) Primary School,Hamilton Base Hospital,20 Foster Street Hamilton VIC 3300,0.71
38,Heathcote Primary School,Heathcote Health,39-55 Hospital Street Heathcote VIC 3523,0.21
39,Highton Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,3.0
40,Huntly Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,6.59
41,Bellbrae Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,13.76
42,Chiltern Primary School,Beechworth Health Service,52 Sydney Road Beechworth VIC 3747,14.74
43,Kyneton Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,0.56
44,Romsey Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,12.26
45,Shelford Primary School,Hesse Rural Health Service (Winchelsea),8 Gosney Street Winchelsea VIC 3241,15.8
46,Lockwood South Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,9.25
47,Marong Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,8.1
48,Mount Macedon Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,12.12
49,Mount Clear Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,3.17
50,Melton Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,1.59
51,Fitzroy Primary School,St Vincent's Hospital,41 Victoria Parade Fitzroy VIC 3065,0.61
52,Newstead Primary School,Maldon Hospital,1 Chapel Street Maldon VIC 3463,7.81
53,Newlyn Primary School,Creswick District Hospital,1 Napier Street Creswick VIC 3363,5.13
54,Burwood East Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.84
55,New Gisborne Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,10.87
56,Beeac Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,10.69
57,Essendon Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.31
58,Coburg Primary School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.76
59,Penshurst Primary School,Penshurst & District Memorial Hospital,146 Cobb Street Penshurst VIC 3289,0.5
60,Myrniong Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,6.21
61,Mernda Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,5.82
62,Portland Primary School,Portland District Health,141-151 Bentinck Street Portland VIC 3305,0.56
63,Stawell Primary School,Stawell Regional Health,27-29 Sloane Street Stawell VIC 3380,0.48
64,Rutherglen Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,22.12
65,Riddells Creek Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,8.51
66,Rokewood Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,24.32
67,Geelong East Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.93
68,Sale Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,0.39
69,Skipton Primary School,Beaufort & Skipton Health Service (Skipton),2 Blake Street Skipton VIC 3361,0.19
70,South Yarra Primary School,The Alfred,55 Commercial Road Melbourne VIC 3004,0.35
71,Stratford Primary School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,5.58
72,Taradale Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,9.82
73,Koroit And District Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,8.29
74,Tylden Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,5.92
75,Thomastown Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,2.06
76,Wangaratta Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,0.85
77,Wahgunyah Primary School,Yarrawonga Health,33 Piper Street Yarrawonga VIC 3730,21.91
78,Woodend Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,7.65
79,Woodford Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,4.43
80,Werribee Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.65
81,Winters Flat Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,1.24
82,Wooragee Primary School,Beechworth Health Service,52 Sydney Road Beechworth VIC 3747,4.63
83,Wallan Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,7.62
84,Woolsthorpe Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,13.5
85,Yandoit Primary School,Daylesford District Hospital,15 Hospital Street Daylesford VIC 3460,9.09
86,Yarram Primary School,Yarram and District Health Service,85-91 Commercial Road Yarram VIC 3971,0.18
87,Pleasant Street Primary School (Ballarat),Ballarat Hospital,1 Drummond Street Drummond VIC 3350,0.52
88,Yea Primary School,Yea and District Memorial Hospital,45 Station Street Yea VIC 3717,0.18
89,Lancefield Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,12.9
90,Coimadai Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,5.1
91,Birregurra Primary School,Colac Area Health,12 Connor Street Colac VIC 3250,11.01
92,Clayton North Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,0.59
93,Milawa Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,9.06
94,Lockwood Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,7.46
95,Bealiba Primary School,Maryborough District Health Service (Dunolly),20 Havelock Street Dunolly VIC 3472,11.12
96,Bairnsdale Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,0.87
97,Gordon Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,14.25
98,Hepburn Primary School,Daylesford District Hospital,15 Hospital Street Daylesford VIC 3460,2.05
99,Lara Lake Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,6.94
100,Rosedale Primary School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,17.03
101,Bright P-12 College,Alpine Health (Bright),36-42 Cobden Street Bright VIC 3741,0.29
102,Rochester Primary School,Rochester and Elmore District Health Service,1 Pascoe Street Rochester VIC 3561,0.82
103,Ararat Primary School,East Grampians Health Service (Ararat),9-29 Girdlestone Street Ararat VIC 3377,0.57
104,Jamieson Primary School,Mansfield District Hospital,51-53 Highett Street Mansfield VIC 3722,17.06
105,Preston South Primary School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,2.26
106,Omeo Primary School,Omeo District Health,10 Easton Street Omeo VIC 3898,0.27
107,Harrietville Primary School,Alpine Health (Mount Beauty),2-8 Hollonds Street Hollonds VIC 3699,11.52
108,Mordialloc Beach Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,3.56
109,Healesville Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,0.99
110,Lake Bolac College,East Grampians Health Service (Willaura),21 Delacombe Way Willaura VIC 3379,13.09
111,Toongabbie Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,13.96
112,Waubra Primary School,Beaufort & Skipton Health Service (Beaufort),24-28 Havelock Street Beaufort VIC 3373,14.86
113,Great Western Primary School,Stawell Regional Health,27-29 Sloane Street Stawell VIC 3380,7.27
114,Maffra Primary School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,0.41
115,Broken Creek Primary School,Benalla Health,47-63 Coster Street Benalla VIC 3672,10.77
116,Lal Lal Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,12.1
117,Cobden Primary School,South West Healthcare (Camperdown),9 Robinson Street Camperdown VIC 3260,7.01
118,St Leonards Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,16.04
119,Lilydale Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,0.25
120,Bendigo Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,0.91
121,Darraweit Guim Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,7.71
122,Linton Primary School,Beaufort & Skipton Health Service (Skipton),2 Blake Street Skipton VIC 3361,10.62
123,Invermay Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,3.03
124,Mitta Mitta Primary School,Alpine Health (Mount Beauty),2-8 Hollonds Street Hollonds VIC 3699,18.59
125,Camberwell Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.15
