week_number, plantago_pollen_week_count_grains_metre_cubed, pinus_pollen_week_count_grains_metre_cubed, rumex_pollen_week_count_grains_metre_cubed, location, chenopodiaceae_pollen_week_count_grains_metre_cubed, first_date_of_week, urticaceae_pollen_week_count_grains_metre_cubed, north, oleaceae_pollen_week_count_grains_metre_cubed, betula_pollen_week_count_grains_metre_cubed, cupressaceae_pollen_week_count_grains_metre_cubed, other_pollen_week_count_grains_metre_cubed, poaceae_pollen_week_count_grains_metre_cubed, total_pollen_week_count_grains_metre_cubed, myrtaceae_pollen_week_count_grains_metre_cubed, ogc_fid, alnus_pollen_week_count_grains_metre_cubed, asteraceae_pollen_week_count_grains_metre_cubed, casuarina_pollen_week_count_grains_metre_cubed, quercus_pollen_week_count_grains_metre_cubed, acacia_pollen_week_count_grains_metre_cubed, east, num_days_data_collected, ulmus_pollen_week_count_grains_metre_cubed
35,null,5.1,null,"The University of Melbourne campus, VIC Australia",null,"2009-08-31T00:00:00.000+0000",null,-37.797103,132.6,158.1,146.2,15.3,null,674.9,23.8,1,11.9,5.1,null,163.2,5.1,144.964841,6,8.5
36,1.7,15.3,null,"The University of Melbourne campus, VIC Australia",null,"2009-09-07T00:00:00.000+0000",null,-37.797103,452.2,341.7,387.6,37.4,null,1844.5,166.6,2,51.0,8.5,null,351.9,18.7,144.964841,7,11.9
37,6.8,17.0,null,"The University of Melbourne campus, VIC Australia",null,"2009-09-14T00:00:00.000+0000",8.5,-37.797103,363.8,195.5,306.0,28.9,27.2,1581.0,85.0,3,173.4,6.8,3.4,343.4,5.1,144.964841,7,10.2
38,6.8,11.9,null,"The University of Melbourne campus, VIC Australia",null,"2009-09-21T00:00:00.000+0000",27.2,-37.797103,311.1,265.2,317.9,49.3,17.0,1914.2,130.9,4,326.4,null,10.2,416.5,6.8,144.964841,7,17.0
39,15.3,13.6,null,"The University of Melbourne campus, VIC Australia",null,"2009-09-28T00:00:00.000+0000",34.0,-37.797103,122.4,102.0,251.6,42.5,10.2,1195.1,83.3,5,195.5,17.0,6.8,278.8,15.3,144.964841,7,6.8
40,15.3,22.1,null,"The University of Melbourne campus, VIC Australia",null,"2009-10-05T00:00:00.000+0000",6.8,-37.797103,142.8,185.3,554.2,18.7,13.6,1052.3,17.0,6,6.8,10.2,15.3,44.2,null,144.964841,7,null
41,42.5,18.7,1.7,"The University of Melbourne campus, VIC Australia",null,"2009-10-12T00:00:00.000+0000",3.4,-37.797103,45.9,134.3,290.7,22.1,45.9,678.3,40.8,7,10.2,null,11.9,10.2,null,144.964841,7,null
42,3.4,null,null,"The University of Melbourne campus, VIC Australia",null,"2009-10-19T00:00:00.000+0000",11.9,-37.797103,18.7,5.1,280.5,17.0,166.6,554.2,35.7,8,null,null,15.3,null,null,144.964841,7,null
43,3.4,10.2,null,"The University of Melbourne campus, VIC Australia",null,"2009-10-26T00:00:00.000+0000",5.1,-37.797103,3.4,3.4,159.8,5.1,365.5,617.1,51.0,9,null,5.1,3.4,null,1.7,144.964841,7,null
44,23.8,8.5,null,"The University of Melbourne campus, VIC Australia",3.4,"2009-11-02T00:00:00.000+0000",3.4,-37.797103,null,10.2,139.4,32.3,266.9,571.2,51.0,10,18.7,1.7,8.5,null,3.4,144.964841,7,null
45,76.5,25.5,null,"The University of Melbourne campus, VIC Australia",3.4,"2009-11-09T00:00:00.000+0000",6.8,-37.797103,null,81.6,484.5,64.6,317.9,1210.4,85.0,11,44.2,11.9,null,null,8.5,144.964841,7,null
46,18.7,null,null,"The University of Melbourne campus, VIC Australia",1.7,"2009-11-16T00:00:00.000+0000",8.5,-37.797103,null,11.9,81.6,25.5,222.7,430.1,40.8,12,17.0,1.7,null,null,null,144.964841,7,null
47,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2009-11-23T00:00:00.000+0000",11.9,-37.797103,null,1.7,238.0,15.3,25.5,385.9,83.3,13,null,null,null,null,10.2,144.964841,7,null
48,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2009-11-30T00:00:00.000+0000",6.8,-37.797103,null,null,42.5,8.5,37.4,224.4,110.5,14,null,18.7,null,null,null,144.964841,7,null
49,11.9,6.8,null,"The University of Melbourne campus, VIC Australia",3.4,"2009-12-07T00:00:00.000+0000",6.8,-37.797103,null,null,102.0,28.9,141.1,401.2,100.3,15,null,null,null,null,null,144.964841,7,null
50,3.4,1.7,null,"The University of Melbourne campus, VIC Australia",8.5,"2009-12-14T00:00:00.000+0000",5.1,-37.797103,null,null,88.4,5.1,3.4,217.6,100.3,16,null,null,null,null,1.7,144.964841,7,null
51,null,6.8,null,"The University of Melbourne campus, VIC Australia",null,"2009-12-21T00:00:00.000+0000",11.9,-37.797103,null,null,141.1,6.8,44.2,340.0,122.4,17,null,null,null,null,6.8,144.964841,7,null
52,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2009-12-28T00:00:00.000+0000",null,-37.797103,null,null,59.5,17.0,59.5,287.3,149.6,18,null,null,1.7,null,null,144.964841,4,null
0,6.8,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-01-01T00:00:00.000+0000",1.7,-37.797103,1.7,null,57.8,8.5,3.4,153.0,68.0,19,null,5.1,null,null,null,144.964841,3,null
1,20.4,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-01-04T00:00:00.000+0000",30.6,-37.797103,null,null,8.5,11.9,42.5,238.0,119.0,20,null,null,null,null,5.1,144.964841,7,null
2,25.5,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-01-11T00:00:00.000+0000",11.9,-37.797103,null,null,1.7,25.5,23.8,127.5,27.2,21,null,8.5,null,null,3.4,144.964841,7,null
3,13.6,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-01-18T00:00:00.000+0000",null,-37.797103,null,null,null,23.8,13.6,71.4,15.3,22,null,5.1,null,null,null,144.964841,7,null
4,45.9,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-01-25T00:00:00.000+0000",3.4,-37.797103,null,null,null,17.0,27.2,134.3,27.2,23,null,11.9,null,null,1.7,144.964841,7,null
5,74.8,null,null,"The University of Melbourne campus, VIC Australia",1.7,"2010-02-01T00:00:00.000+0000",null,-37.797103,null,null,null,18.7,34.0,164.9,25.5,24,null,5.1,null,null,5.1,144.964841,7,null
6,8.5,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-02-08T00:00:00.000+0000",null,-37.797103,null,null,null,11.9,6.8,49.3,10.2,25,null,11.9,null,null,null,144.964841,7,null
7,17.0,null,null,"The University of Melbourne campus, VIC Australia",6.8,"2010-02-15T00:00:00.000+0000",null,-37.797103,null,null,null,6.8,8.5,52.7,11.9,26,null,1.7,null,null,null,144.964841,7,null
8,37.4,null,null,"The University of Melbourne campus, VIC Australia",5.1,"2010-02-22T00:00:00.000+0000",null,-37.797103,null,null,null,6.8,18.7,79.9,11.9,27,null,null,null,null,null,144.964841,7,null
9,5.1,null,null,"The University of Melbourne campus, VIC Australia",8.5,"2010-03-01T00:00:00.000+0000",null,-37.797103,null,null,null,15.3,6.8,61.2,20.4,28,null,5.1,null,null,null,144.964841,7,null
10,1.7,null,null,"The University of Melbourne campus, VIC Australia",3.4,"2010-03-08T00:00:00.000+0000",null,-37.797103,null,null,null,3.4,null,11.9,1.7,29,null,1.7,null,null,null,144.964841,6,null
11,1.7,null,null,"The University of Melbourne campus, VIC Australia",6.8,"2010-03-15T00:00:00.000+0000",null,-37.797103,null,null,null,5.1,1.7,17.0,null,30,null,1.7,null,null,null,144.964841,6,null
12,1.7,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-03-22T00:00:00.000+0000",null,-37.797103,null,null,null,0.0,null,1.7,null,31,null,null,null,null,null,144.964841,3,null
13,1.7,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-03-29T00:00:00.000+0000",null,-37.797103,null,null,null,10.2,null,18.7,6.8,32,null,null,null,null,null,144.964841,5,null
14,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-04-05T00:00:00.000+0000",null,-37.797103,null,null,null,10.2,null,18.7,5.1,33,null,3.4,null,null,null,144.964841,7,null
15,3.4,3.4,null,"The University of Melbourne campus, VIC Australia",null,"2010-04-12T00:00:00.000+0000",null,-37.797103,null,null,null,8.5,3.4,23.8,1.7,34,null,3.4,null,null,null,144.964841,6,null
16,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-04-19T00:00:00.000+0000",null,-37.797103,null,null,3.4,3.4,null,8.5,1.7,35,null,null,null,null,null,144.964841,5,null
17,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-04-26T00:00:00.000+0000",null,-37.797103,null,null,6.8,1.7,1.7,10.2,null,36,null,null,null,null,null,144.964841,6,null
18,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-05-03T00:00:00.000+0000",null,-37.797103,null,null,null,5.1,1.7,6.8,null,37,null,null,null,null,null,144.964841,4,null
19,null,1.7,null,"The University of Melbourne campus, VIC Australia",null,"2010-05-10T00:00:00.000+0000",null,-37.797103,null,null,null,0.0,null,1.7,null,38,null,null,null,null,null,144.964841,4,null
20,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-05-17T00:00:00.000+0000",null,-37.797103,null,null,null,0.0,1.7,1.7,null,39,null,null,null,null,null,144.964841,3,null
21,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-05-24T00:00:00.000+0000",null,-37.797103,null,null,null,0.0,null,0.0,null,40,null,null,null,null,null,144.964841,2,null
22,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-05-31T00:00:00.000+0000",null,-37.797103,null,null,null,5.1,null,15.3,10.2,41,null,null,null,null,null,144.964841,5,null
23,null,null,6.8,"The University of Melbourne campus, VIC Australia",null,"2010-06-07T00:00:00.000+0000",10.2,-37.797103,null,null,null,0.0,null,23.8,6.8,42,null,null,null,null,null,144.964841,7,null
24,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-06-14T00:00:00.000+0000",null,-37.797103,null,null,null,0.0,null,0.0,null,43,null,null,null,null,null,144.964841,4,null
25,null,null,1.7,"The University of Melbourne campus, VIC Australia",null,"2010-06-21T00:00:00.000+0000",null,-37.797103,null,null,null,0.0,null,5.1,3.4,44,null,null,null,null,null,144.964841,5,null
26,null,null,1.7,"The University of Melbourne campus, VIC Australia",null,"2010-06-28T00:00:00.000+0000",null,-37.797103,null,null,null,3.4,null,11.9,6.8,45,null,null,null,null,null,144.964841,7,null
27,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-07-05T00:00:00.000+0000",null,-37.797103,null,null,null,5.1,null,13.6,8.5,46,null,null,null,null,null,144.964841,5,null
28,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-07-12T00:00:00.000+0000",null,-37.797103,null,null,null,0.0,null,5.1,3.4,47,null,1.7,null,null,null,144.964841,4,null
29,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-07-19T00:00:00.000+0000",null,-37.797103,null,null,null,1.7,null,3.4,1.7,48,null,null,null,null,null,144.964841,2,null
30,null,null,null,"The University of Melbourne campus, VIC Australia",null,"2010-07-26T00:00:00.000+0000",null,-37.797103,null,null,6.8,3.4,null,18.7,8.5,49,null,null,null,null,null,144.964841,4,null
31,3.4,8.5,null,"The University of Melbourne campus, VIC Australia",null,"2010-08-02T00:00:00.000+0000",null,-37.797103,132.6,22.1,57.8,8.5,null,265.2,null,50,null,null,null,null,null,144.964841,7,32.3
32,1.7,42.5,null,"The University of Melbourne campus, VIC Australia",null,"2010-08-09T00:00:00.000+0000",null,-37.797103,17.0,51.0,85.0,5.1,null,215.9,null,51,null,null,null,null,null,144.964841,7,13.6
33,6.8,30.6,null,"The University of Melbourne campus, VIC Australia",null,"2010-08-16T00:00:00.000+0000",47.6,-37.797103,null,15.3,86.7,11.9,null,289.0,1.7,52,13.6,null,null,6.8,1.7,144.964841,7,66.3
34,1.7,90.1,null,"The University of Melbourne campus, VIC Australia",null,"2010-08-23T00:00:00.000+0000",35.7,-37.797103,5.1,69.7,659.6,6.8,3.4,1009.8,10.2,53,18.7,null,null,47.6,3.4,144.964841,7,57.8
35,null,88.4,null,"The University of Melbourne campus, VIC Australia",null,"2010-08-30T00:00:00.000+0000",1.7,-37.797103,178.5,754.8,2038.3,20.4,null,3413.6,25.5,54,49.3,null,null,232.9,11.9,144.964841,7,11.9
36,null,34.0,null,"The University of Melbourne campus, VIC Australia",null,"2010-09-06T00:00:00.000+0000",null,-37.797103,775.2,329.8,1870.0,34.0,6.8,3869.2,178.5,55,49.3,null,null,578.0,null,144.964841,7,13.6
37,null,5.1,null,"The University of Melbourne campus, VIC Australia",null,"2010-09-13T00:00:00.000+0000",null,-37.797103,231.2,51.0,316.2,22.1,null,1035.3,125.8,56,35.7,null,3.4,232.9,5.1,144.964841,7,6.8
38,null,3.4,1.7,"The University of Melbourne campus, VIC Australia",null,"2010-09-20T00:00:00.000+0000",17.0,-37.797103,147.9,8.5,571.2,47.6,null,1479.0,192.1,57,161.5,null,8.5,312.8,6.8,144.964841,7,null
39,17.0,6.8,40.8,"The University of Melbourne campus, VIC Australia",null,"2010-09-27T00:00:00.000+0000",28.9,-37.797103,125.8,79.9,552.5,54.4,8.5,1431.4,127.5,58,176.8,null,13.6,195.5,null,144.964841,7,3.4
40,15.3,6.8,35.7,"The University of Melbourne campus, VIC Australia",1.7,"2010-10-04T00:00:00.000+0000",10.2,-37.797103,64.6,51.0,1297.1,45.9,13.6,1642.2,null,59,47.6,5.1,23.8,17.0,null,144.964841,7,6.8
