,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
322,Abbotsford Primary School,3067,The Melbourne Clinic,Private,130 Church Street Yarra VIC 3121,0.4
322,Abbotsford Primary School,3067,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.97
653,Aberfeldie Primary School,3040,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,2.42
653,Aberfeldie Primary School,3040,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,0.76
1624,Academy of Mary Immaculate,3065,Genesis Care Radiation Oncology Centre St Vincent's Hospital Melbourne,Private,41 Victoria Parade Yarra VIC 3065,0.28
1624,Academy of Mary Immaculate,3065,St Vincent's Hospital,Public,41 Victoria Parade Fitzroy VIC 3065,0.22
1831,Adass Israel School,3185,Cabrini Health Elsternwick Rehabilitation,Private,494-498 High Road High VIC 3185,0.13
1831,Adass Israel School,3185,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,0.48
2241,Advance College of Education Incorporated,3939,Rosebud Hospital,Public,1527 Pascoe Road Pascoe VIC 3940,1.45
2241,Advance College of Education Incorporated,3939,Rosebud SurgiCentre,Private,1537 Pine Road Pine VIC 3940,1.45
801,Ainslie Parklands Primary School,3136,Ringwood Private Hospital,Private,36 Mcclelland Road Maroondah VIC 3135,1.65
801,Ainslie Parklands Primary School,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.03
1210,Aireys Inlet Primary School,3231,Lorne Community Hospital,Public,1 Albert Street Lorne VIC 3232,9.27
1210,Aireys Inlet Primary School,3231,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,21.02
642,Airly Primary School,3851,Central Gippsland Health Service (Sale),Public,155 Guthridge Parade Sale VIC 3850,5.96
642,Airly Primary School,3851,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,18.34
2150,Aitken College,3059,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,2.69
2150,Aitken College,3059,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,6.68
1169,Aitken Creek Primary School,3064,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,1.28
1169,Aitken Creek Primary School,3064,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,7.38
1211,Aitken Hill Primary School,3064,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,0.86
1211,Aitken Hill Primary School,3064,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,6.59
2235,Al Iman College,3338,Melton Health,Public,195-209 Barries Road Barries VIC 3337,1.47
2235,Al Iman College,3338,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,10.63
2198,Al Siraat College,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.31
2198,Al Siraat College,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.36
2097,Al-Taqwa College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.6
2097,Al-Taqwa College,3029,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,2.64
1175,Alamanda K-9 College,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.77
1175,Alamanda K-9 College,3030,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,2.66
964,Albanvale Primary School,3021,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.53
964,Albanvale Primary School,3021,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,0.27
1115,Albany Rise Primary School,3170,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,2.81
1115,Albany Rise Primary School,3170,Springvale Endoscopy Centre and Day Hospital,Private,20 Balmoral Avenue Balmoral VIC 3171,1.95
1518,Albert Park College,3206,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.9
1518,Albert Park College,3206,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,1.54
184,Albert Park Primary School,3206,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.62
184,Albert Park Primary School,3206,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,1.18
0,Alberton Primary School,3971,Yarram and District Health Service,Public,85-91 Commercial Road Yarram VIC 3971,4.23
0,Alberton Primary School,3971,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,30.86
791,Albion North Primary School,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,0.41
791,Albion North Primary School,3020,Sunshine Private Day Surgery,Private,145 Furlong Road Brimbank VIC 3021,0.38
658,Albion Primary School,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.27
658,Albion Primary School,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,0.7
889,Aldercourt Primary School,3200,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,2.39
889,Aldercourt Primary School,3200,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,2.95
127,Alexandra Primary School,3714,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,30.9
127,Alexandra Primary School,3714,Alexandra District Hospital,Public,12 Cooper Street Alexandra VIC 3714,0.31
1272,Alexandra Secondary College,3714,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,30.89
1272,Alexandra Secondary College,3714,Alexandra District Hospital,Public,12 Cooper Street Alexandra VIC 3714,0.81
157,Alfredton Primary School,3350,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,1.93
157,Alfredton Primary School,3350,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,2.27
2151,Alia College,3123,Epworth Rehabilitation Camberwell,Private,888 Toorak Road Boroondara VIC 3124,0.55
2151,Alia College,3123,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,2.07
2233,Alice Miller School,3440,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,15.06
2233,Alice Miller School,3440,Kyneton District Health Service,Public,7-25 Fenaughty Drive Kyneton VIC 3444,13.64
1511,Alkira Secondary College,3977,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.85
1511,Alkira Secondary College,3977,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,2.77
1658,All Saints Parish School,3305,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,47.87
1658,All Saints Parish School,3305,Portland District Health,Public,141-151 Bentinck Street Portland VIC 3305,1.46
1,Allansford and District Primary School,3277,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,6.4
1,Allansford and District Primary School,3277,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,6.12
2108,Alphington Grammar School,3078,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,0.91
2108,Alphington Grammar School,3078,Darebin Endoscopy Services,Private,42 Station Street Darebin VIC 3078,1.02
556,Alphington Primary School,3078,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,0.6
556,Alphington Primary School,3078,Darebin Endoscopy Services,Private,42 Station Street Darebin VIC 3078,0.81
1497,Altona College,3018,Williamstown Hospital,Public,76A Railway Crescent Williamstown VIC 3016,4.06
1497,Altona College,3018,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,0.76
1040,Altona Green Primary School,3028,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,2.66
1040,Altona Green Primary School,3028,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,4.69
960,Altona Meadows Primary School,3028,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,4.56
960,Altona Meadows Primary School,3028,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,2.67
828,Altona North Primary School,3025,Williamstown Hospital,Public,76A Railway Crescent Williamstown VIC 3016,3.01
828,Altona North Primary School,3025,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,2.52
600,Altona Primary School,3018,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,0.34
600,Altona Primary School,3018,Williamstown Hospital,Public,76A Railway Crescent Williamstown VIC 3016,3.84
1217,Alvie Consolidated School,3249,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,43.74
1217,Alvie Consolidated School,3249,Colac Area Health,Public,12 Connor Street Colac VIC 3250,8.15
284,Amphitheatre Primary School,3468,Beaufort & Skipton Health Service (Beaufort),Public,24-28 Havelock Street Beaufort VIC 3373,17.04
284,Amphitheatre Primary School,3468,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,34.24
1116,Amsleigh Park Primary School,3166,Sir John Monash Private Hospital,Private,212-220 Clayton Road Monash VIC 3168,1.43
1116,Amsleigh Park Primary School,3166,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.58
327,Anakie Primary School,3213,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,14.92
327,Anakie Primary School,3213,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,17.39
2054,Andale School,3101,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,0.97
2054,Andale School,3101,St Vincent's Private Hospital Kew,Private,5 Studley Avenue Boroondara VIC 3101,0.66
921,Andersons Creek Primary School,3113,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,4.82
921,Andersons Creek Primary School,3113,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,3.5
669,Anglesea Primary School,3230,Lorne Community Hospital,Public,1 Albert Street Lorne VIC 3232,15.37
669,Anglesea Primary School,3230,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,15.26
1929,Annunciation School,3012,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,2.71
1929,Annunciation School,3012,Western Radiation Oncology Centre,Private,1-9 Marion Street Maribyrnong VIC 3011,2.82
2168,Antonine College,3044,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,2.58
2168,Antonine College,3044,Coburg Endoscopy Centre,Private,15 Munro Street Moreland VIC 3058,1.24
783,Antonio Park Primary School,3132,Mitcham Private Hospital,Private,36 Plenty Road Whitehorse VIC 3132,0.73
783,Antonio Park Primary School,3132,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,2.47
1218,Apollo Bay P-12 College,3233,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,52.05
1218,Apollo Bay P-12 College,3233,Otway Health,Public,75 Mclachlan Street Mclachlan VIC 3233,0.22
967,Apollo Parkways Primary School,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.24
967,Apollo Parkways Primary School,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.16
983,Appin Park Primary School,3677,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,1.16
983,Appin Park Primary School,3677,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,0.83
190,Apsley Primary School,3319,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,123.09
190,Apsley Primary School,3319,Edenhope & District Hospital,Public,124-134 Elizabeth Street Edenhope VIC 3318,12.19
1898,Aquinas College,3134,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.57
1898,Aquinas College,3134,Eastside Endoscopy Centre,Private,33 Wantirna Road Maroondah VIC 3134,0.47
877,Araluen Primary School,3850,Central Gippsland Health Service (Sale),Public,155 Guthridge Parade Sale VIC 3850,0.45
877,Araluen Primary School,3850,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,18.96
861,Ararat North Primary School,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,52.4
861,Ararat North Primary School,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.51
103,Ararat Primary School,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,52.27
103,Ararat Primary School,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.57
1442,Ararat Secondary College,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.76
