,School,Nearest Hospital,Hopsital Address,Distance (miles)
0,Alberton Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,30.86
1,Allansford and District Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,6.12
2,Avoca Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,37.08
3,Avenel Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,9.53
4,Warrandyte Primary School,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,4.01
5,Belmont Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.59
6,Bacchus Marsh Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,13.12
7,Ballarat Primary School (Dana Street),St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,0.57
8,Wodonga Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,1.0
9,Berwick Primary School,St John of God Berwick Day Oncology Centre,1/55 Kangan Drive Casey VIC 3806,0.5
10,Beaufort Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,25.74
11,Cheltenham Primary School,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,0.57
12,Cudgee Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,9.45
13,Newport Lakes Primary School,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,2.77
14,Cavendish Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,62.73
15,Colac Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,39.67
16,Castlemaine Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,21.12
17,Campbells Creek Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,23.04
18,Creswick Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,8.49
19,California Gully Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,2.08
20,St Andrews Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,11.38
21,Warrnambool West Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,0.76
22,Dromana Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,4.4
23,Doncaster Primary School,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.23
24,Echuca Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,40.33
25,Eltham Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.59
26,Eaglehawk Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,2.88
27,Elphinstone Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,23.95
28,Hallam Primary School,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,2.13
29,Flemington Primary School,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,0.64
30,Footscray Primary School,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,0.2
31,Gisborne Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,10.77
32,Sandringham Primary School,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,0.47
33,Wandiligong Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,43.86
34,Grovedale Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.34
35,Hawthorn West Primary School,Epworth Hawthorn,46-52 Burwood Road Boroondara VIC 3122,0.26
36,Heidelberg Primary School,Warringal Private Hospital,216 Burgundy Street Banyule VIC 3084,0.41
37,Hamilton (Gray Street) Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,49.9
38,Heathcote Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,26.47
39,Highton Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.66
40,Huntly Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,7.9
41,Bellbrae Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,9.88
42,Chiltern Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,15.08
43,Kyneton Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,27.53
44,Romsey Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,15.56
45,Shelford Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,21.54
46,Lockwood South Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,8.0
47,Marong Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,7.23
48,Mount Macedon Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,15.11
49,Mount Clear Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,3.45
50,Melton Primary School,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,9.45
51,Fitzroy Primary School,St Vincent's Private Hospital Fitzroy,59-61 Victoria Parade Yarra VIC 3065,0.64
52,Newstead Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,26.05
53,Newlyn Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,11.6
54,Burwood East Primary School,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,1.45
55,New Gisborne Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,11.65
56,Beeac Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,35.96
57,Essendon Primary School,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.89
58,Coburg Primary School,Coburg Endoscopy Centre,15 Munro Street Moreland VIC 3058,0.32
59,Penshurst Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,35.45
60,Myrniong Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,6.93
61,Mernda Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,5.95
62,Portland Primary School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,47.55
63,Stawell Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,67.21
64,Rutherglen Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,21.84
65,Riddells Creek Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,9.03
66,Rokewood Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,24.83
67,Geelong East Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,0.72
68,Sale Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,18.23
69,Skipton Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,27.39
70,South Yarra Primary School,Melbourne Endoscopy,517 High Road Melbourne VIC 3004,0.42
71,Stratford Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,16.49
72,Taradale Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,26.59
73,Koroit And District Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,8.1
74,Tylden Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,21.5
75,Thomastown Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,2.23
76,Wangaratta Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,1.05
77,Wahgunyah Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,23.63
78,Woodend Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,19.64
79,Woodford Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,3.76
